module,file,call_site_family,variant,count,height_tier_px,width_mode,local_duplicate_classes,compliance,notes
earn,earn/presentation/widgets/staking_institutional_overview_batches.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
earn,earn/presentation/widgets/staking_regulatory_framework_hero_licenses.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/widgets/staking_risk_disclosure_overview.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/widgets/staking_social_feed_page_sections.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/widgets/staking_tax_guide_header.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
earn,earn/presentation/widgets/staking_tax_guide_jurisdictions.dart,VitChoicePill,chip,1,44,hug,-,pass,
earn,earn/presentation/widgets/staking_validator_selection_filters.dart,VitChoicePill,chip,3,44,hug,-,pass,
enterprise_states,enterprise_states/presentation/widgets/enterprise_states_hero_tabs.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
enterprise_states,enterprise_states/presentation/widgets/enterprise_states_preview_kit.dart,VitPresetChipRow,preset_row,1,34,equal_full,-,pass,
home,home/presentation/pages/home_page_part_02.dart,VitTabBar,pill_wrap,1,~28,wrap_hug,-,review,
launchpad,launchpad/presentation/pages/launchpad_bridge_compare_page_part_01.dart,VitChoicePill,chip,1,44,hug,-,pass,
launchpad,launchpad/presentation/pages/launchpad_claim_receipt_page.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
launchpad,launchpad/presentation/pages/launchpad_gas_tracker_page_part_01.dart,VitChoicePill,chip,2,44,full_or_hug,-,pass,
launchpad,launchpad/presentation/pages/launchpad_gas_tracker_page_part_02.dart,VitChoicePill,chip,3,44,full_or_hug,-,pass,
launchpad,launchpad/presentation/pages/launchpad_multisig_page_part_01.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
